id,job_count,preempted_job_count,start_time,finish_time,real_duration,jobs_total_duration,job_max_duration,preempted_jobs_total_duration,operation_type,operation_state,in_timeframe
2f61b4fe-6e6a7645-3f403e8-316fa9b6,4331,0,0.000000s,22.575000s,136.281558s,29438.308939s,20.383000s,0.000000s,Reduce,completed,0
f42a0560-409efe3c-3f403e8-6415a468,292,0,0.000000s,27.101000s,87.350852s,2067.276864s,14.391000s,0.000000s,MapReduce,completed,0
6d4c1318-e00cd19a-3f403e8-949bcb7f,110,0,4.856326s,28.100000s,78.863604s,760.718941s,13.963000s,0.000000s,MapReduce,completed,1
1a8dd322-47e3d91c-3f403e8-e3b975d0,2,0,18.892605s,28.325000s,46.657585s,17.598999s,9.278000s,0.000000s,Map,failed,1
6b13dec-cf609ec6-3f403e8-bee9a9de,4,0,12.334125s,29.820000s,60.064287s,57.046998s,16.742000s,0.000000s,Map,completed,1
b27b4b32-4edfd31f-3f403e8-b166b650,451,0,0.000000s,30.655000s,85.872066s,5838.937792s,29.048000s,0.000000s,Map,completed,0
58de4bb0-feabaa3e-3f403e8-2f2f5e25,146,0,6.363579s,31.550000s,80.712747s,1032.844930s,14.957000s,0.000000s,MapReduce,completed,1
cba486e5-6e3ad847-3f403e8-681ad520,46,0,12.368172s,32.700000s,63.290975s,524.525981s,19.653000s,0.000000s,Map,completed,1
42f060cd-564698a7-3f403e8-8d9f6dd1,147,0,5.173507s,32.914000s,85.529709s,1233.397945s,17.298000s,0.000000s,MapReduce,completed,1
a7c1256f-340693c6-3f403e8-73fd583b,146,0,5.251381s,34.189000s,86.011330s,1323.071933s,17.684000s,0.000000s,MapReduce,completed,1
18083bf1-68b25785-3f403e8-5ba8247e,148,0,7.796848s,34.377000s,83.266227s,1227.313934s,16.853000s,0.000000s,MapReduce,completed,1
8cb5bd17-d3e34ef7-3f403e8-3dc4edf5,218,0,0.455880s,36.383000s,99.539396s,2096.860900s,24.064000s,0.000000s,MapReduce,completed,1
e4929f3b-c6cd66bf-3f403e8-ba2b763d,147,1,8.414867s,36.773000s,83.201109s,1219.561921s,17.490000s,2.594000s,MapReduce,completed,1
2e9bf275-5f2523fc-3f403e8-a473ea24,148,0,6.356162s,38.755000s,88.583532s,1277.844919s,21.365000s,0.000000s,MapReduce,completed,1
fff5a545-581cbad8-3f403e8-41a7ed80,145,0,7.896639s,41.781000s,89.888306s,1277.101925s,22.147000s,0.000000s,MapReduce,completed,1
55020177-710834b2-3f403e8-c98332dc,147,0,7.354400s,43.094000s,89.822509s,1513.586928s,22.677000s,0.000000s,MapReduce,completed,1
2b25ccb3-6d0a518b-3f403e8-97432c96,3,0,9.947498s,43.682000s,81.250523s,49.246999s,26.206000s,0.000000s,MapReduce,completed,1
c58950e9-fd4b4b2e-3f403e8-44c748c1,1,0,36.259615s,46.869000s,31.266814s,9.788999s,9.789000s,0.000000s,Map,completed,1
b0e8d851-23b57ea3-3f403e8-5006c7cb,10,0,12.990569s,47.145000s,80.612520s,189.632996s,24.799000s,0.000000s,MapReduce,completed,1
17c4434d-8d669906-3f403e8-3c78ecb0,38,0,0.000000s,52.731000s,141.225856s,491.304980s,29.602000s,0.000000s,MapReduce,completed,0
eec3d506-2d335a26-3f403e8-b9053584,1,0,34.099166s,52.897000s,40.267170s,17.820999s,17.821000s,0.000000s,Sort,completed,1
83d37fda-b5745391-3f403e8-af6ee709,1,0,34.104146s,56.567000s,44.860632s,21.250999s,21.251000s,0.000000s,Vanilla,completed,1
35e41f2-21b763c7-3f403e8-75438d78,6,0,36.533513s,57.410000s,41.935211s,77.760996s,16.448000s,0.000000s,Map,completed,1
b384027b-ec5a28d5-3f403e8-6988e851,124,7,4.387066s,67.996000s,113.531924s,2101.847930s,36.777000s,41.271997s,MapReduce,completed,1
e7355a20-ac480702-3f403e8-dbf98a44,1,0,56.977666s,69.514000s,15.169704s,12.394999s,12.395000s,0.000000s,Map,completed,1
240deed7-990c9ac3-3f403e8-92c264f,206,0,0.000000s,69.615000s,202.788551s,8441.555894s,60.953000s,0.000000s,Map,completed,0
bade9ca2-ff000564-3f403e8-68496f64,1,0,55.448015s,69.772000s,17.671705s,13.205000s,13.205000s,0.000000s,Vanilla,completed,1
4e4dcf44-2a36ae1e-3f403e8-dd160b5a,6,0,33.380465s,70.628000s,62.187427s,124.154997s,27.814000s,0.000000s,Map,completed,1
6b059da4-1a2cd413-3f403e8-f3996821,1,0,60.463776s,70.682000s,13.561200s,9.548999s,9.549000s,0.000000s,Sort,completed,1
36b10daf-f83d4f77-3f403e8-523b2c4d,2,0,25.561239s,74.134000s,39.563834s,10.398999s,5.625000s,0.000000s,RemoteCopy,failed,1
c1f10bdf-8a1c4f3a-3f403e8-c882a8c0,1,0,52.277598s,74.851000s,26.124153s,20.566000s,20.566000s,0.000000s,Vanilla,completed,1
bc260640-369a9871-3f403e8-bda69943,331,0,0.000000s,75.209000s,173.222569s,7146.558823s,64.502000s,0.000000s,Map,completed,0
cc1eb8ad-8c97605d-3f403e8-333c3449,38,0,45.017638s,81.070000s,41.968744s,672.181974s,30.950000s,0.000000s,Map,completed,1
